Policy snapshot for mountaincar
Format: state -> best action | action probabilities
state=(-0.09230769597567057, -0.005384615407540247): best=0 (0.994) | probs: 0:0.994, 1:0.004, 2:0.002
state=(-0.09230769597567057, -0.0017948718025134203): best=0 (0.994) | probs: 0:0.994, 1:0.004, 2:0.002
state=(-0.09230769597567057, 0.0017948718025134203): best=0 (0.994) | probs: 0:0.994, 1:0.004, 2:0.002
state=(-0.09230769597567057, 0.005384615407540247): best=0 (0.994) | probs: 0:0.994, 1:0.004, 2:0.002
state=(-0.09230769597567057, 0.008974359012567074): best=0 (0.994) | probs: 0:0.994, 1:0.004, 2:0.002
state=(-0.09230769597567057, 0.012564102617593914): best=0 (0.994) | probs: 0:0.994, 1:0.004, 2:0.002
state=(-0.09230769597567057, 0.01615384622262074): best=0 (0.994) | probs: 0:0.994, 1:0.004, 2:0.002
state=(-0.09230769597567057, 0.019743589827647567): best=0 (0.994) | probs: 0:0.994, 1:0.004, 2:0.002
state=(-0.09230769597567057, 0.023333333432674408): best=0 (0.994) | probs: 0:0.994, 1:0.004, 2:0.002
state=(-0.09230769597567057, 0.026923077037701235): best=0 (0.994) | probs: 0:0.994, 1:0.004, 2:0.002
state=(-0.09230769597567057, 0.03051282064272806): best=0 (0.994) | probs: 0:0.994, 1:0.004, 2:0.002
state=(-0.09230769597567057, 0.0341025642477549): best=0 (0.994) | probs: 0:0.994, 1:0.004, 2:0.002
state=(-0.09230769597567057, 0.03769230785278173): best=0 (0.994) | probs: 0:0.994, 1:0.004, 2:0.002
state=(-0.09230769597567057, 0.04128205145780857): best=0 (0.994) | probs: 0:0.994, 1:0.004, 2:0.002
state=(-0.09230769597567057, 0.044871795062835396): best=0 (0.994) | probs: 0:0.994, 1:0.004, 2:0.002
state=(-0.09230769597567057, 0.04846153866786222): best=0 (0.994) | probs: 0:0.994, 1:0.004, 2:0.002
state=(-0.09230769597567057, 0.05205128227288906): best=0 (0.994) | probs: 0:0.994, 1:0.004, 2:0.002
state=(-0.09230769597567057, 0.05564102587791589): best=0 (0.994) | probs: 0:0.994, 1:0.004, 2:0.002
state=(-0.09230769597567057, 0.05923076948294273): best=0 (0.994) | probs: 0:0.994, 1:0.004, 2:0.002
state=(-0.09230769597567057, 0.06282051308796954): best=0 (0.994) | probs: 0:0.994, 1:0.004, 2:0.002
state=(-0.09230769597567057, 0.06641025669299638): best=0 (0.994) | probs: 0:0.994, 1:0.004, 2:0.002
state=(-0.09230769597567057, 0.07000000029802322): best=0 (0.994) | probs: 0:0.994, 1:0.004, 2:0.002
state=(-0.046153847987835395, -0.07000000029802322): best=0 (0.991) | probs: 0:0.991, 1:0.006, 2:0.004
state=(-0.046153847987835395, -0.0664102566929964): best=0 (0.991) | probs: 0:0.991, 1:0.006, 2:0.004
state=(-0.046153847987835395, -0.06282051308796956): best=0 (0.990) | probs: 0:0.990, 1:0.006, 2:0.004
state=(-0.046153847987835395, -0.05923076948294273): best=0 (0.990) | probs: 0:0.990, 1:0.006, 2:0.004
state=(-0.046153847987835395, -0.055641025877915896): best=0 (0.990) | probs: 0:0.990, 1:0.006, 2:0.004
state=(-0.046153847987835395, -0.05205128227288906): best=0 (0.990) | probs: 0:0.990, 1:0.006, 2:0.004
state=(-0.046153847987835395, -0.048461538667862236): best=0 (0.990) | probs: 0:0.990, 1:0.006, 2:0.004
state=(-0.046153847987835395, -0.0448717950628354): best=0 (0.990) | probs: 0:0.990, 1:0.006, 2:0.004
state=(-0.046153847987835395, -0.04128205145780857): best=0 (0.990) | probs: 0:0.990, 1:0.006, 2:0.004
state=(-0.046153847987835395, -0.037692307852781735): best=0 (0.990) | probs: 0:0.990, 1:0.006, 2:0.004
state=(-0.046153847987835395, -0.0341025642477549): best=0 (0.990) | probs: 0:0.990, 1:0.006, 2:0.004
state=(-0.046153847987835395, -0.030512820642728075): best=0 (0.990) | probs: 0:0.990, 1:0.006, 2:0.004
state=(-0.046153847987835395, -0.02692307703770124): best=0 (0.990) | probs: 0:0.990, 1:0.006, 2:0.004
state=(-0.046153847987835395, -0.023333333432674408): best=0 (0.990) | probs: 0:0.990, 1:0.006, 2:0.004
state=(-0.046153847987835395, -0.01974358982764758): best=0 (0.989) | probs: 0:0.989, 1:0.007, 2:0.004
state=(-0.046153847987835395, -0.016153846222620748): best=0 (0.989) | probs: 0:0.989, 1:0.007, 2:0.004
state=(-0.046153847987835395, -0.012564102617593914): best=0 (0.989) | probs: 0:0.989, 1:0.007, 2:0.004
state=(-0.046153847987835395, -0.00897435901256708): best=0 (0.989) | probs: 0:0.989, 1:0.007, 2:0.004
state=(-0.046153847987835395, -0.005384615407540247): best=0 (0.989) | probs: 0:0.989, 1:0.007, 2:0.004
state=(-0.046153847987835395, -0.0017948718025134203): best=0 (0.989) | probs: 0:0.989, 1:0.007, 2:0.004
state=(-0.046153847987835395, 0.0017948718025134203): best=0 (0.989) | probs: 0:0.989, 1:0.007, 2:0.004
state=(-0.046153847987835395, 0.005384615407540247): best=0 (0.989) | probs: 0:0.989, 1:0.007, 2:0.004
state=(-0.046153847987835395, 0.008974359012567074): best=0 (0.989) | probs: 0:0.989, 1:0.007, 2:0.004
state=(-0.046153847987835395, 0.012564102617593914): best=0 (0.989) | probs: 0:0.989, 1:0.007, 2:0.004
state=(-0.046153847987835395, 0.01615384622262074): best=0 (0.989) | probs: 0:0.989, 1:0.007, 2:0.004
state=(-0.046153847987835395, 0.019743589827647567): best=0 (0.989) | probs: 0:0.989, 1:0.007, 2:0.004
state=(-0.046153847987835395, 0.023333333432674408): best=0 (0.989) | probs: 0:0.989, 1:0.007, 2:0.004
state=(-0.046153847987835395, 0.026923077037701235): best=0 (0.989) | probs: 0:0.989, 1:0.007, 2:0.004
state=(-0.046153847987835395, 0.03051282064272806): best=0 (0.989) | probs: 0:0.989, 1:0.007, 2:0.004
state=(-0.046153847987835395, 0.0341025642477549): best=0 (0.989) | probs: 0:0.989, 1:0.007, 2:0.004
state=(-0.046153847987835395, 0.03769230785278173): best=0 (0.989) | probs: 0:0.989, 1:0.007, 2:0.004
state=(-0.046153847987835395, 0.04128205145780857): best=0 (0.989) | probs: 0:0.989, 1:0.007, 2:0.004
state=(-0.046153847987835395, 0.044871795062835396): best=0 (0.989) | probs: 0:0.989, 1:0.007, 2:0.004
state=(-0.046153847987835395, 0.04846153866786222): best=0 (0.989) | probs: 0:0.989, 1:0.007, 2:0.004
state=(-0.046153847987835395, 0.05205128227288906): best=0 (0.989) | probs: 0:0.989, 1:0.007, 2:0.004
state=(-0.046153847987835395, 0.05564102587791589): best=0 (0.988) | probs: 0:0.988, 1:0.007, 2:0.004
state=(-0.046153847987835395, 0.05923076948294273): best=0 (0.988) | probs: 0:0.988, 1:0.008, 2:0.004
state=(-0.046153847987835395, 0.06282051308796954): best=0 (0.988) | probs: 0:0.988, 1:0.008, 2:0.004
state=(-0.046153847987835395, 0.06641025669299638): best=0 (0.988) | probs: 0:0.988, 1:0.008, 2:0.004
state=(-0.046153847987835395, 0.07000000029802322): best=0 (0.988) | probs: 0:0.988, 1:0.008, 2:0.004
state=(0.0, -0.07000000029802322): best=0 (0.982) | probs: 0:0.982, 1:0.011, 2:0.008
state=(0.0, -0.0664102566929964): best=0 (0.981) | probs: 0:0.981, 1:0.011, 2:0.008
state=(0.0, -0.06282051308796956): best=0 (0.981) | probs: 0:0.981, 1:0.011, 2:0.008
state=(0.0, -0.05923076948294273): best=0 (0.981) | probs: 0:0.981, 1:0.011, 2:0.008
state=(0.0, -0.055641025877915896): best=0 (0.981) | probs: 0:0.981, 1:0.011, 2:0.008
state=(0.0, -0.05205128227288906): best=0 (0.981) | probs: 0:0.981, 1:0.011, 2:0.008
state=(0.0, -0.048461538667862236): best=0 (0.981) | probs: 0:0.981, 1:0.011, 2:0.008
state=(0.0, -0.0448717950628354): best=0 (0.980) | probs: 0:0.980, 1:0.012, 2:0.008
state=(0.0, -0.04128205145780857): best=0 (0.980) | probs: 0:0.980, 1:0.012, 2:0.008
state=(0.0, -0.037692307852781735): best=0 (0.980) | probs: 0:0.980, 1:0.012, 2:0.008
state=(0.0, -0.0341025642477549): best=0 (0.980) | probs: 0:0.980, 1:0.012, 2:0.008
state=(0.0, -0.030512820642728075): best=0 (0.980) | probs: 0:0.980, 1:0.012, 2:0.008
state=(0.0, -0.02692307703770124): best=0 (0.980) | probs: 0:0.980, 1:0.012, 2:0.008
state=(0.0, -0.023333333432674408): best=0 (0.980) | probs: 0:0.980, 1:0.012, 2:0.008
state=(0.0, -0.01974358982764758): best=0 (0.979) | probs: 0:0.979, 1:0.012, 2:0.008
state=(0.0, -0.016153846222620748): best=0 (0.979) | probs: 0:0.979, 1:0.013, 2:0.008
state=(0.0, -0.012564102617593914): best=0 (0.979) | probs: 0:0.979, 1:0.013, 2:0.008
state=(0.0, -0.00897435901256708): best=0 (0.979) | probs: 0:0.979, 1:0.013, 2:0.008
state=(0.0, -0.005384615407540247): best=0 (0.979) | probs: 0:0.979, 1:0.013, 2:0.008
state=(0.0, -0.0017948718025134203): best=0 (0.979) | probs: 0:0.979, 1:0.013, 2:0.008
state=(0.0, 0.0017948718025134203): best=0 (0.979) | probs: 0:0.979, 1:0.013, 2:0.008
state=(0.0, 0.005384615407540247): best=0 (0.979) | probs: 0:0.979, 1:0.013, 2:0.008
state=(0.0, 0.008974359012567074): best=0 (0.979) | probs: 0:0.979, 1:0.013, 2:0.008
state=(0.0, 0.012564102617593914): best=0 (0.978) | probs: 0:0.978, 1:0.013, 2:0.008
state=(0.0, 0.01615384622262074): best=0 (0.978) | probs: 0:0.978, 1:0.013, 2:0.008
state=(0.0, 0.019743589827647567): best=0 (0.978) | probs: 0:0.978, 1:0.014, 2:0.008
state=(0.0, 0.023333333432674408): best=0 (0.978) | probs: 0:0.978, 1:0.014, 2:0.008
state=(0.0, 0.026923077037701235): best=0 (0.978) | probs: 0:0.978, 1:0.014, 2:0.008
state=(0.0, 0.03051282064272806): best=0 (0.978) | probs: 0:0.978, 1:0.014, 2:0.008
state=(0.0, 0.0341025642477549): best=0 (0.978) | probs: 0:0.978, 1:0.014, 2:0.008
state=(0.0, 0.03769230785278173): best=0 (0.978) | probs: 0:0.978, 1:0.014, 2:0.008
state=(0.0, 0.04128205145780857): best=0 (0.978) | probs: 0:0.978, 1:0.014, 2:0.008
state=(0.0, 0.044871795062835396): best=0 (0.978) | probs: 0:0.978, 1:0.014, 2:0.008
state=(0.0, 0.04846153866786222): best=0 (0.978) | probs: 0:0.978, 1:0.014, 2:0.008
state=(0.0, 0.05205128227288906): best=0 (0.978) | probs: 0:0.978, 1:0.014, 2:0.008
state=(0.0, 0.05564102587791589): best=0 (0.978) | probs: 0:0.978, 1:0.014, 2:0.008
state=(0.0, 0.05923076948294273): best=0 (0.978) | probs: 0:0.978, 1:0.014, 2:0.008
state=(0.0, 0.06282051308796954): best=0 (0.978) | probs: 0:0.978, 1:0.014, 2:0.008
state=(0.0, 0.06641025669299638): best=0 (0.978) | probs: 0:0.978, 1:0.014, 2:0.008
state=(0.0, 0.07000000029802322): best=0 (0.977) | probs: 0:0.977, 1:0.014, 2:0.008
state=(0.04615384798783517, -0.07000000029802322): best=0 (0.964) | probs: 0:0.964, 1:0.020, 2:0.016
state=(0.04615384798783517, -0.0664102566929964): best=0 (0.964) | probs: 0:0.964, 1:0.020, 2:0.016
state=(0.04615384798783517, -0.06282051308796956): best=0 (0.964) | probs: 0:0.964, 1:0.021, 2:0.016
state=(0.04615384798783517, -0.05923076948294273): best=0 (0.963) | probs: 0:0.963, 1:0.021, 2:0.016
state=(0.04615384798783517, -0.055641025877915896): best=0 (0.963) | probs: 0:0.963, 1:0.021, 2:0.016
state=(0.04615384798783517, -0.05205128227288906): best=0 (0.963) | probs: 0:0.963, 1:0.021, 2:0.016
state=(0.04615384798783517, -0.048461538667862236): best=0 (0.962) | probs: 0:0.962, 1:0.022, 2:0.016
state=(0.04615384798783517, -0.0448717950628354): best=0 (0.962) | probs: 0:0.962, 1:0.022, 2:0.016
state=(0.04615384798783517, -0.04128205145780857): best=0 (0.962) | probs: 0:0.962, 1:0.022, 2:0.016
state=(0.04615384798783517, -0.037692307852781735): best=0 (0.962) | probs: 0:0.962, 1:0.022, 2:0.016
state=(0.04615384798783517, -0.0341025642477549): best=0 (0.961) | probs: 0:0.961, 1:0.023, 2:0.016
state=(0.04615384798783517, -0.030512820642728075): best=0 (0.961) | probs: 0:0.961, 1:0.023, 2:0.016
state=(0.04615384798783517, -0.02692307703770124): best=0 (0.961) | probs: 0:0.961, 1:0.023, 2:0.016
state=(0.04615384798783517, -0.023333333432674408): best=0 (0.960) | probs: 0:0.960, 1:0.023, 2:0.016
state=(0.04615384798783517, -0.01974358982764758): best=0 (0.960) | probs: 0:0.960, 1:0.023, 2:0.016
state=(0.04615384798783517, -0.016153846222620748): best=0 (0.960) | probs: 0:0.960, 1:0.024, 2:0.016
state=(0.04615384798783517, -0.012564102617593914): best=0 (0.960) | probs: 0:0.960, 1:0.024, 2:0.016
state=(0.04615384798783517, -0.00897435901256708): best=0 (0.960) | probs: 0:0.960, 1:0.024, 2:0.016
state=(0.04615384798783517, -0.005384615407540247): best=0 (0.959) | probs: 0:0.959, 1:0.024, 2:0.016
state=(0.04615384798783517, -0.0017948718025134203): best=0 (0.959) | probs: 0:0.959, 1:0.024, 2:0.016
state=(0.04615384798783517, 0.0017948718025134203): best=0 (0.959) | probs: 0:0.959, 1:0.025, 2:0.016
state=(0.04615384798783517, 0.005384615407540247): best=0 (0.959) | probs: 0:0.959, 1:0.025, 2:0.016
state=(0.04615384798783517, 0.008974359012567074): best=0 (0.959) | probs: 0:0.959, 1:0.025, 2:0.016
state=(0.04615384798783517, 0.012564102617593914): best=0 (0.958) | probs: 0:0.958, 1:0.025, 2:0.016
state=(0.04615384798783517, 0.01615384622262074): best=0 (0.958) | probs: 0:0.958, 1:0.025, 2:0.016
state=(0.04615384798783517, 0.019743589827647567): best=0 (0.958) | probs: 0:0.958, 1:0.025, 2:0.016
state=(0.04615384798783517, 0.023333333432674408): best=0 (0.958) | probs: 0:0.958, 1:0.026, 2:0.016
state=(0.04615384798783517, 0.026923077037701235): best=0 (0.958) | probs: 0:0.958, 1:0.026, 2:0.016
state=(0.04615384798783517, 0.03051282064272806): best=0 (0.958) | probs: 0:0.958, 1:0.026, 2:0.016
state=(0.04615384798783517, 0.0341025642477549): best=0 (0.957) | probs: 0:0.957, 1:0.026, 2:0.016
state=(0.04615384798783517, 0.03769230785278173): best=0 (0.957) | probs: 0:0.957, 1:0.026, 2:0.016
state=(0.04615384798783517, 0.04128205145780857): best=0 (0.957) | probs: 0:0.957, 1:0.026, 2:0.016
state=(0.04615384798783517, 0.044871795062835396): best=0 (0.957) | probs: 0:0.957, 1:0.026, 2:0.016
state=(0.04615384798783517, 0.04846153866786222): best=0 (0.957) | probs: 0:0.957, 1:0.026, 2:0.016
state=(0.04615384798783517, 0.05205128227288906): best=0 (0.957) | probs: 0:0.957, 1:0.027, 2:0.016
state=(0.04615384798783517, 0.05564102587791589): best=0 (0.957) | probs: 0:0.957, 1:0.027, 2:0.016
state=(0.04615384798783517, 0.05923076948294273): best=0 (0.957) | probs: 0:0.957, 1:0.027, 2:0.016
state=(0.04615384798783517, 0.06282051308796954): best=0 (0.957) | probs: 0:0.957, 1:0.027, 2:0.016
state=(0.04615384798783517, 0.06641025669299638): best=0 (0.957) | probs: 0:0.957, 1:0.027, 2:0.016
state=(0.04615384798783517, 0.07000000029802322): best=0 (0.957) | probs: 0:0.957, 1:0.027, 2:0.016
state=(0.09230769597567035, -0.07000000029802322): best=0 (0.932) | probs: 0:0.932, 1:0.037, 2:0.031
state=(0.09230769597567035, -0.0664102566929964): best=0 (0.932) | probs: 0:0.932, 1:0.037, 2:0.031
state=(0.09230769597567035, -0.06282051308796956): best=0 (0.931) | probs: 0:0.931, 1:0.038, 2:0.031
state=(0.09230769597567035, -0.05923076948294273): best=0 (0.931) | probs: 0:0.931, 1:0.038, 2:0.031
state=(0.09230769597567035, -0.055641025877915896): best=0 (0.930) | probs: 0:0.930, 1:0.039, 2:0.031
state=(0.09230769597567035, -0.05205128227288906): best=0 (0.930) | probs: 0:0.930, 1:0.039, 2:0.031
state=(0.09230769597567035, -0.048461538667862236): best=0 (0.929) | probs: 0:0.929, 1:0.040, 2:0.031
state=(0.09230769597567035, -0.0448717950628354): best=0 (0.929) | probs: 0:0.929, 1:0.040, 2:0.031
state=(0.09230769597567035, -0.04128205145780857): best=0 (0.928) | probs: 0:0.928, 1:0.041, 2:0.031
state=(0.09230769597567035, -0.037692307852781735): best=0 (0.928) | probs: 0:0.928, 1:0.041, 2:0.032
state=(0.09230769597567035, -0.0341025642477549): best=0 (0.927) | probs: 0:0.927, 1:0.041, 2:0.032
state=(0.09230769597567035, -0.030512820642728075): best=0 (0.927) | probs: 0:0.927, 1:0.042, 2:0.032
state=(0.09230769597567035, -0.02692307703770124): best=0 (0.926) | probs: 0:0.926, 1:0.042, 2:0.032
state=(0.09230769597567035, -0.023333333432674408): best=0 (0.926) | probs: 0:0.926, 1:0.043, 2:0.032
state=(0.09230769597567035, -0.01974358982764758): best=0 (0.925) | probs: 0:0.925, 1:0.043, 2:0.032
state=(0.09230769597567035, -0.016153846222620748): best=0 (0.925) | probs: 0:0.925, 1:0.043, 2:0.032
state=(0.09230769597567035, -0.012564102617593914): best=0 (0.924) | probs: 0:0.924, 1:0.044, 2:0.032
state=(0.09230769597567035, -0.00897435901256708): best=0 (0.924) | probs: 0:0.924, 1:0.044, 2:0.032
state=(0.09230769597567035, -0.005384615407540247): best=0 (0.924) | probs: 0:0.924, 1:0.044, 2:0.032
state=(0.09230769597567035, -0.0017948718025134203): best=0 (0.923) | probs: 0:0.923, 1:0.045, 2:0.032
state=(0.09230769597567035, 0.0017948718025134203): best=0 (0.923) | probs: 0:0.923, 1:0.045, 2:0.032
state=(0.09230769597567035, 0.005384615407540247): best=0 (0.923) | probs: 0:0.923, 1:0.045, 2:0.032
state=(0.09230769597567035, 0.008974359012567074): best=0 (0.922) | probs: 0:0.922, 1:0.046, 2:0.032
state=(0.09230769597567035, 0.012564102617593914): best=0 (0.922) | probs: 0:0.922, 1:0.046, 2:0.032
state=(0.09230769597567035, 0.01615384622262074): best=0 (0.922) | probs: 0:0.922, 1:0.046, 2:0.032
state=(0.09230769597567035, 0.019743589827647567): best=0 (0.921) | probs: 0:0.921, 1:0.046, 2:0.032
state=(0.09230769597567035, 0.023333333432674408): best=0 (0.921) | probs: 0:0.921, 1:0.047, 2:0.032
state=(0.09230769597567035, 0.026923077037701235): best=0 (0.921) | probs: 0:0.921, 1:0.047, 2:0.032
state=(0.09230769597567035, 0.03051282064272806): best=0 (0.921) | probs: 0:0.921, 1:0.047, 2:0.032
state=(0.09230769597567035, 0.0341025642477549): best=0 (0.920) | probs: 0:0.920, 1:0.047, 2:0.032
state=(0.09230769597567035, 0.03769230785278173): best=0 (0.920) | probs: 0:0.920, 1:0.048, 2:0.032
state=(0.09230769597567035, 0.04128205145780857): best=0 (0.920) | probs: 0:0.920, 1:0.048, 2:0.032
state=(0.09230769597567035, 0.044871795062835396): best=0 (0.920) | probs: 0:0.920, 1:0.048, 2:0.032
state=(0.09230769597567035, 0.04846153866786222): best=0 (0.920) | probs: 0:0.920, 1:0.048, 2:0.032
state=(0.09230769597567035, 0.05205128227288906): best=0 (0.920) | probs: 0:0.920, 1:0.048, 2:0.032
state=(0.09230769597567035, 0.05564102587791589): best=0 (0.919) | probs: 0:0.919, 1:0.048, 2:0.032
state=(0.09230769597567035, 0.05923076948294273): best=0 (0.919) | probs: 0:0.919, 1:0.049, 2:0.032
state=(0.09230769597567035, 0.06282051308796954): best=0 (0.919) | probs: 0:0.919, 1:0.049, 2:0.032
state=(0.09230769597567035, 0.06641025669299638): best=0 (0.919) | probs: 0:0.919, 1:0.049, 2:0.032
state=(0.09230769597567035, 0.07000000029802322): best=0 (0.919) | probs: 0:0.919, 1:0.049, 2:0.032
state=(0.13846154396350552, -0.07000000029802322): best=0 (0.878) | probs: 0:0.878, 1:0.065, 2:0.057
state=(0.13846154396350552, -0.0664102566929964): best=0 (0.877) | probs: 0:0.877, 1:0.065, 2:0.057
state=(0.13846154396350552, -0.06282051308796956): best=0 (0.876) | probs: 0:0.876, 1:0.066, 2:0.058
state=(0.13846154396350552, -0.05923076948294273): best=0 (0.875) | probs: 0:0.875, 1:0.067, 2:0.058
state=(0.13846154396350552, -0.055641025877915896): best=0 (0.874) | probs: 0:0.874, 1:0.068, 2:0.058
state=(0.13846154396350552, -0.05205128227288906): best=0 (0.874) | probs: 0:0.874, 1:0.068, 2:0.058
state=(0.13846154396350552, -0.048461538667862236): best=0 (0.873) | probs: 0:0.873, 1:0.069, 2:0.058
state=(0.13846154396350552, -0.0448717950628354): best=0 (0.872) | probs: 0:0.872, 1:0.070, 2:0.058
state=(0.13846154396350552, -0.04128205145780857): best=0 (0.871) | probs: 0:0.871, 1:0.071, 2:0.058
state=(0.13846154396350552, -0.037692307852781735): best=0 (0.870) | probs: 0:0.870, 1:0.071, 2:0.058
state=(0.13846154396350552, -0.0341025642477549): best=0 (0.870) | probs: 0:0.870, 1:0.072, 2:0.059
state=(0.13846154396350552, -0.030512820642728075): best=0 (0.869) | probs: 0:0.869, 1:0.073, 2:0.059
state=(0.13846154396350552, -0.02692307703770124): best=0 (0.868) | probs: 0:0.868, 1:0.073, 2:0.059
state=(0.13846154396350552, -0.023333333432674408): best=0 (0.867) | probs: 0:0.867, 1:0.074, 2:0.059
state=(0.13846154396350552, -0.01974358982764758): best=0 (0.867) | probs: 0:0.867, 1:0.074, 2:0.059
state=(0.13846154396350552, -0.016153846222620748): best=0 (0.866) | probs: 0:0.866, 1:0.075, 2:0.059
state=(0.13846154396350552, -0.012564102617593914): best=0 (0.865) | probs: 0:0.865, 1:0.076, 2:0.059
state=(0.13846154396350552, -0.00897435901256708): best=0 (0.865) | probs: 0:0.865, 1:0.076, 2:0.059
state=(0.13846154396350552, -0.005384615407540247): best=0 (0.864) | probs: 0:0.864, 1:0.077, 2:0.059
state=(0.13846154396350552, -0.0017948718025134203): best=0 (0.863) | probs: 0:0.863, 1:0.077, 2:0.059
state=(0.13846154396350552, 0.0017948718025134203): best=0 (0.863) | probs: 0:0.863, 1:0.078, 2:0.059
state=(0.13846154396350552, 0.005384615407540247): best=0 (0.862) | probs: 0:0.862, 1:0.078, 2:0.059
state=(0.13846154396350552, 0.008974359012567074): best=0 (0.862) | probs: 0:0.862, 1:0.079, 2:0.059
state=(0.13846154396350552, 0.012564102617593914): best=0 (0.861) | probs: 0:0.861, 1:0.079, 2:0.059
state=(0.13846154396350552, 0.01615384622262074): best=0 (0.861) | probs: 0:0.861, 1:0.080, 2:0.059
state=(0.13846154396350552, 0.019743589827647567): best=0 (0.860) | probs: 0:0.860, 1:0.080, 2:0.059
state=(0.13846154396350552, 0.023333333432674408): best=0 (0.860) | probs: 0:0.860, 1:0.081, 2:0.059
state=(0.13846154396350552, 0.026923077037701235): best=0 (0.860) | probs: 0:0.860, 1:0.081, 2:0.059
state=(0.13846154396350552, 0.03051282064272806): best=0 (0.859) | probs: 0:0.859, 1:0.081, 2:0.059
state=(0.13846154396350552, 0.0341025642477549): best=0 (0.859) | probs: 0:0.859, 1:0.082, 2:0.059
state=(0.13846154396350552, 0.03769230785278173): best=0 (0.859) | probs: 0:0.859, 1:0.082, 2:0.059
state=(0.13846154396350552, 0.04128205145780857): best=0 (0.858) | probs: 0:0.858, 1:0.082, 2:0.059
state=(0.13846154396350552, 0.044871795062835396): best=0 (0.858) | probs: 0:0.858, 1:0.083, 2:0.059
state=(0.13846154396350552, 0.04846153866786222): best=0 (0.858) | probs: 0:0.858, 1:0.083, 2:0.059
state=(0.13846154396350552, 0.05205128227288906): best=0 (0.858) | probs: 0:0.858, 1:0.083, 2:0.059
state=(0.13846154396350552, 0.05564102587791589): best=0 (0.857) | probs: 0:0.857, 1:0.084, 2:0.059
state=(0.13846154396350552, 0.05923076948294273): best=0 (0.857) | probs: 0:0.857, 1:0.084, 2:0.059
state=(0.13846154396350552, 0.06282051308796954): best=0 (0.857) | probs: 0:0.857, 1:0.084, 2:0.059
state=(0.13846154396350552, 0.06641025669299638): best=0 (0.857) | probs: 0:0.857, 1:0.084, 2:0.059
state=(0.13846154396350552, 0.07000000029802322): best=0 (0.857) | probs: 0:0.857, 1:0.084, 2:0.059
state=(0.1846153919513409, -0.07000000029802322): best=0 (0.796) | probs: 0:0.796, 1:0.105, 2:0.099
state=(0.1846153919513409, -0.0664102566929964): best=0 (0.795) | probs: 0:0.795, 1:0.106, 2:0.099
state=(0.1846153919513409, -0.06282051308796956): best=0 (0.793) | probs: 0:0.793, 1:0.107, 2:0.099
state=(0.1846153919513409, -0.05923076948294273): best=0 (0.792) | probs: 0:0.792, 1:0.108, 2:0.099
state=(0.1846153919513409, -0.055641025877915896): best=0 (0.791) | probs: 0:0.791, 1:0.110, 2:0.100
state=(0.1846153919513409, -0.05205128227288906): best=0 (0.789) | probs: 0:0.789, 1:0.111, 2:0.100
state=(0.1846153919513409, -0.048461538667862236): best=0 (0.788) | probs: 0:0.788, 1:0.112, 2:0.100
state=(0.1846153919513409, -0.0448717950628354): best=0 (0.787) | probs: 0:0.787, 1:0.113, 2:0.100
state=(0.1846153919513409, -0.04128205145780857): best=0 (0.786) | probs: 0:0.786, 1:0.114, 2:0.100
state=(0.1846153919513409, -0.037692307852781735): best=0 (0.785) | probs: 0:0.785, 1:0.115, 2:0.100
state=(0.1846153919513409, -0.0341025642477549): best=0 (0.784) | probs: 0:0.784, 1:0.116, 2:0.100
state=(0.1846153919513409, -0.030512820642728075): best=0 (0.782) | probs: 0:0.782, 1:0.117, 2:0.101
state=(0.1846153919513409, -0.02692307703770124): best=0 (0.781) | probs: 0:0.781, 1:0.118, 2:0.101
state=(0.1846153919513409, -0.023333333432674408): best=0 (0.780) | probs: 0:0.780, 1:0.119, 2:0.101
state=(0.1846153919513409, -0.01974358982764758): best=0 (0.779) | probs: 0:0.779, 1:0.120, 2:0.101
state=(0.1846153919513409, -0.016153846222620748): best=0 (0.778) | probs: 0:0.778, 1:0.121, 2:0.101
state=(0.1846153919513409, -0.012564102617593914): best=0 (0.777) | probs: 0:0.777, 1:0.122, 2:0.101
state=(0.1846153919513409, -0.00897435901256708): best=0 (0.777) | probs: 0:0.777, 1:0.122, 2:0.101
state=(0.1846153919513409, -0.005384615407540247): best=0 (0.776) | probs: 0:0.776, 1:0.123, 2:0.101
state=(0.1846153919513409, -0.0017948718025134203): best=0 (0.775) | probs: 0:0.775, 1:0.124, 2:0.101
state=(0.1846153919513409, 0.0017948718025134203): best=0 (0.774) | probs: 0:0.774, 1:0.125, 2:0.101
state=(0.1846153919513409, 0.005384615407540247): best=0 (0.773) | probs: 0:0.773, 1:0.126, 2:0.101
state=(0.1846153919513409, 0.008974359012567074): best=0 (0.773) | probs: 0:0.773, 1:0.126, 2:0.101
state=(0.1846153919513409, 0.012564102617593914): best=0 (0.772) | probs: 0:0.772, 1:0.127, 2:0.101
state=(0.1846153919513409, 0.01615384622262074): best=0 (0.771) | probs: 0:0.771, 1:0.128, 2:0.101
state=(0.1846153919513409, 0.019743589827647567): best=0 (0.771) | probs: 0:0.771, 1:0.128, 2:0.101
state=(0.1846153919513409, 0.023333333432674408): best=0 (0.770) | probs: 0:0.770, 1:0.129, 2:0.101
state=(0.1846153919513409, 0.026923077037701235): best=0 (0.769) | probs: 0:0.769, 1:0.130, 2:0.101
state=(0.1846153919513409, 0.03051282064272806): best=0 (0.769) | probs: 0:0.769, 1:0.130, 2:0.101
